"title","writer","total_second"
"The Parent Map","Dave Rapp",0
"Non-Compete Clause","Kim Beyer-Johnson",0
"The Break Up Break Down","Nick Confalone",0
"Molt Down","Josh Haber",0
"Marks for Effort","Nicole Dubuc",0
"The Mean 6","Michael Vogel",0
"A Matter of Principals","Nicole Dubuc",0
"The Hearth's Warming Club","Brian Hohlfeld",0
"Friendship University","Chris ""Doc"" Wyatt & Kevin Burke",143
"The End in Friend","Gillian M. Berrow",0
"Yakity-Sax","Michael P. Fox & Wil Fox",0
"Road to Friendship","Josh Haber",114
"The Washouts","Nick Confalone",0
"A Rockhoof and a Hard Place","Kaita Mpambara",0
"What Lies Beneath","Michael Vogel",0
"Sounds of Silence","Gregory Bonsignore",224
"Father Knows Beast","Josh Haber",145
"School Raze - Part 1","Nicole Dubuc",0
"School Raze - Part 2","Josh Haber",0
