"pony","pony2","relation","writer"
"Rainbow Dash","pinkie Pie",0.0702000899280576,"Cindy Morrow"
"Rarity","pinkie Pie",0,"Cindy Morrow"
"Fluttershy","pinkie Pie",0.00886028019689512,"Cindy Morrow"
"Applejack","Twilight Sparkle",0.0136129032258065,"Dave Polsky"
"Rainbow Dash","Twilight Sparkle",0.0166038971671852,"Dave Polsky"
"Rarity","Twilight Sparkle",0.0126013959630258,"Dave Polsky"
"Fluttershy","Twilight Sparkle",0.00909090909090909,"Dave Polsky"
"pinkie Pie","Twilight Sparkle",0.0692599620493359,"Dave Polsky"
"Twilight Sparkle","Applejack",0.0136129032258065,"Dave Polsky"
"Rainbow Dash","Applejack",0.0141522842639594,"Dave Polsky"
"Rarity","Applejack",0.0218479532163743,"Dave Polsky"
"Fluttershy","Applejack",0.016,"Dave Polsky"
"pinkie Pie","Applejack",0.0497254901960784,"Dave Polsky"
"Twilight Sparkle","Rainbow Dash",0.0166038971671852,"Dave Polsky"
"Applejack","Rainbow Dash",0.0141522842639594,"Dave Polsky"
"Rarity","Rainbow Dash",0,"Dave Polsky"
"Fluttershy","Rainbow Dash",0.00761421319796954,"Dave Polsky"
"pinkie Pie","Rainbow Dash",0.0371454165422514,"Dave Polsky"
"Twilight Sparkle","Rarity",0.0126013959630258,"Dave Polsky"
"Applejack","Rarity",0.0218479532163743,"Dave Polsky"
"Rainbow Dash","Rarity",0,"Dave Polsky"
"Fluttershy","Rarity",0.00909090909090909,"Dave Polsky"
"pinkie Pie","Rarity",0.00392156862745098,"Dave Polsky"
"Twilight Sparkle","Fluttershy",0.00909090909090909,"Dave Polsky"
"Applejack","Fluttershy",0.016,"Dave Polsky"
"Rainbow Dash","Fluttershy",0.00761421319796954,"Dave Polsky"
"Rarity","Fluttershy",0.00909090909090909,"Dave Polsky"
"pinkie Pie","Fluttershy",0.0591800356506239,"Dave Polsky"
"Twilight Sparkle","pinkie Pie",0.0692599620493359,"Dave Polsky"
"Applejack","pinkie Pie",0.0497254901960784,"Dave Polsky"
"Rainbow Dash","pinkie Pie",0.0371454165422514,"Dave Polsky"
"Rarity","pinkie Pie",0.00392156862745098,"Dave Polsky"
"Fluttershy","pinkie Pie",0.0591800356506239,"Dave Polsky"
"Applejack","Twilight Sparkle",0.0148065730914071,"Michael Vogel"
"Rainbow Dash","Twilight Sparkle",0.0221597300337458,"Michael Vogel"
"Rarity","Twilight Sparkle",0.011029206455576,"Michael Vogel"
"Fluttershy","Twilight Sparkle",0.0254321658068603,"Michael Vogel"
"pinkie Pie","Twilight Sparkle",0.078494094488189,"Michael Vogel"
"Twilight Sparkle","Applejack",0.0148065730914071,"Michael Vogel"
"Rainbow Dash","Applejack",0.0142857142857143,"Michael Vogel"
"Rarity","Applejack",0.0411270428615479,"Michael Vogel"
"Fluttershy","Applejack",0.0111819090454773,"Michael Vogel"
"pinkie Pie","Applejack",0.00543478260869565,"Michael Vogel"
"Twilight Sparkle","Rainbow Dash",0.0221597300337458,"Michael Vogel"
"Applejack","Rainbow Dash",0.0142857142857143,"Michael Vogel"
"Rarity","Rainbow Dash",0.00714285714285714,"Michael Vogel"
"Fluttershy","Rainbow Dash",0.0658456486042693,"Michael Vogel"
"pinkie Pie","Rainbow Dash",0.003125,"Michael Vogel"
"Twilight Sparkle","Rarity",0.011029206455576,"Michael Vogel"
"Applejack","Rarity",0.0411270428615479,"Michael Vogel"
"Rainbow Dash","Rarity",0.00714285714285714,"Michael Vogel"
"Fluttershy","Rarity",0.00709219858156028,"Michael Vogel"
"pinkie Pie","Rarity",0.0454343971631206,"Michael Vogel"
"Twilight Sparkle","Fluttershy",0.0254321658068603,"Michael Vogel"
"Applejack","Fluttershy",0.0111819090454773,"Michael Vogel"
"Rainbow Dash","Fluttershy",0.0658456486042693,"Michael Vogel"
"Rarity","Fluttershy",0.00709219858156028,"Michael Vogel"
"pinkie Pie","Fluttershy",0.009375,"Michael Vogel"
"Twilight Sparkle","pinkie Pie",0.078494094488189,"Michael Vogel"
"Applejack","pinkie Pie",0.00543478260869565,"Michael Vogel"
"Rainbow Dash","pinkie Pie",0.003125,"Michael Vogel"
"Rarity","pinkie Pie",0.0454343971631206,"Michael Vogel"
"Fluttershy","pinkie Pie",0.009375,"Michael Vogel"
